Brand,Product Title,Price,Rating,Seller Rating,Ship on Time Score,URL Link,No.of Questions,Specifications
Samsung,A57 3gb ram and 32gb memory,12799,4.8,93.0,71.0,https://www.daraz.pk/products/samsung-galaxy-a04s-4gb-128gb-official-pta-approved-official-warranty-i429492323-s2045838409.html?search=1,54,pre { white-space: pre-wrap
Itel,"Itel S23 - 6.6"" Inch Display - 8GB",27999,5.0,0.0,66.0,https://www.daraz.pk/products/12gb-1-gb-pta-i433242717-s2085762036.html?search=1,147,1 Year Brand Warranty
Infinix,Infinix Smart 7 - 64GB ROM - 4GB,25300,4.8,94.0,31.0,https://www.daraz.pk/products/12-8gb-128gb-50-mp-5000mah-i432772560-s2075098581.html?search=1,18,SMART 7Up to 7 Big RAM (Including 3GB Extended RAM)6.6 Big HD+ Sunlight Readable Display13MP Extra Clear AI Dual Camera5000mAh Big & Durable Battery3D Textured Antibacterial DesignFingerprint & Face Safety Unlock
Xiaomi,"Xiaomi Note 12 , 8GB RAM 128GB ROM",49999,4.9,93.0,97.0,https://www.daraz.pk/products/12c-4gb-1-000-gb-10w-i426364045-s2024317570.html?search=1,42,"ProcessorCPUOcta-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53) ChipsetQualcomm SM6225 Snapdragon 685 (6 nm) GPUAdreno 610 DisplayTechnologyAMOLED Capacitive Touchscreen, 16M Colors, Multitouch Size6.67 Inches Resolution1080 x 2400 Pixels (~395 PPI) ProtectionCorning Gorilla Glass 3 Extra Features120Hz, 450 nits (typ), 700 nits (HBM), 1200 nits (peak) MemoryBuilt-in128GB Built-in, 8GB RAM, UFS 2.2 CardNo CameraMainTriple Camera: 50 MP, f/1.8, (wide), 1/2.76"", PDAF + 8 MP, f/2.2, (ultrawide), 1/4"" + 2 MP, f/2.4, (macro), LED Flash FeaturesGeo-tagging, Phase detection, touch focus, HDR, Panorama, Video (1080p@30fps) Front13 MP, f/2.5, (wide), 1/3.0"", HDR, Video (1080p@30fps)"
Tecno,Tecno Camon 20 - 8GB/256GB - 64 MP,53999,4.7,91.0,75.0,https://www.daraz.pk/products/a2-3gb-64gb-5000mah-i430324944-s2050666136.html?search=1,141,"8GB/256GB 64 MP Back Camera - 32 MP Front Camera5000 mAH- Battery6.67"" DisplaySlim Design (Camon Puzzle)Fingerprint on Display"
Itel,"Itel A05s , 4GB RAM 64GB ROM ,",20199,4.7,93.0,100.0,https://www.daraz.pk/products/13t-12gb-256gb-1-pta-i433497804-s2080954311.html?search=1,139,General FeaturesRelease Date2023-09-30SIM SupportDual SimPhone DimensionsN/APhone WeightN/AOperating SystemAndroid 12 (Go edition)DisplayScreen Size6.6 InchesScreen Resolution720 x 1612 PixelsScreen TypeIPS LCDScreen ProtectionN/AMemoryInternal Memory32 GBRAM2 GBCard SlotmicroSDXCPerformanceProcessorUnisoc SC9863A1 (28nm) Octa-coreGPUIMG8322BatteryType4000 mAhCameraFront Camera5 MPFront Flash LightN/AFront Video RecordingYesBack Flash LightYesBack Camera8 MPBack Video RecordingYesConnectivityBluetoothYes3Gnull4G/LTEnull5GNoRadioN/AWiFiYesNFCNo
VGOTEL,VGOTEL Note 23 || 8GB+8GB RAM 256GB ROM,30999,4.8,94.0,63.0,https://www.daraz.pk/products/12c-4gb-128gb-50-mp-al-5000-mah-i430225803-s2080865730.html?search=1,106,General FeaturesRelease Date2023-11-14SIM SupportDual SimPhone DimensionsN/APhone WeightN/AOperating SystemAndroidDisplayScreen Size6.78 InchesScreen Resolution1080 x 460Screen TypeFHD+Screen ProtectionN/AMemoryInternal Memory256 GBRAM8 GB + 8 GB ExtendedCard SlotN/APerformanceProcessorMediaTek Helio G99 6nmGPUN/ABatteryType5000 mAhCameraFront Camera16 MPFront Flash LightN/AFront Video RecordingYesBack Flash LightYesBack Camera50 MP Triple AiBack Video RecordingYesConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioN/AWiFiYesNFCN/A
Infinix,Infinix Hot 30 || 8GB+8GB Ram 128GB Rom,36999,0.0,96.0,68.0,https://www.daraz.pk/products/23-8-8-16gb-256gb-5000mah-i438405502-s2122429857.html?search=1,92,"General FeaturesRelease Date2023-08-29SIM SupportDual SIM (Nano-SIM, dual stand-by)Phone Dimensions168.7 x 76.6 x 8.4 mmPhone Weight196 gOperating SystemAndroid 13, XOS 12.6DisplayScreen Size6.78 InchesScreen Resolution1080 x 2460 PixelsScreen TypeIPS LCDScreen ProtectionN/AMemoryInternal Memory128 GBRAM8 GBCard SlotmicroSDXC (dedicated slot)PerformanceProcessorMediatek Helio G88 (12nm) Octa-coreGPUMali-G52 MC2BatteryType5000 mAhCameraFront Camera8 MPFront Flash LightYesFront Video Recording1080p@30fpsBack Flash LightYesBack Camera50 MP + 0.08 MPBack Video Recording1440p@30fps, 1080p@30fpsConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioYesWiFiYesNFCYes"
Samsung,Samsung A54 - 8GB/256GB - Android 13 -,128999,4.5,77.0,87.0,https://www.daraz.pk/products/oppo-a57-2022-65-hd-display-4gb-ram-64gb-rom-dual-sim-pta-approved-phone-and-box-only-charger-accessories-not-included-mix-color-i436693448-s2098342045.html?search=1,113,"6.4 inches, 100.5 cm2 (~82.9% screen-to-body ratio)Android 13, One UI 5.150 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS 12 MP, f/2.2, 123˚ (ultrawide), 1.12µm 5 MP, f/2.4, (macro)Li-Po 5000 mAh, non-removable"
Xiaomi,"Xiaomi Redmi 12 , 8GB RAM 128GB ROM",43699,0.0,90.0,71.0,https://www.daraz.pk/products/12gb-v29-256gb-678-4600-mah-80-i435993109-s2094160423.html?search=1,101,"BuildOSAndroid 13 OS UIMIUI 14 Dimensions168.6 x 76.3 x 8.2 mm Weight198 g SIMHybrid Dual SIM, Dual Standby, (Nano-SIM) ColorsMidnight Black, Sky Blue, Polar Silver Frequency2G BandSIM1: GSM 850 / 900 / 1800 / 1900"
